text_island_symbol,anchor_exchange_state,left_inner_state,right_inner_state,score_delta,family_stability,anchor_families,added_families,removed_families,left_maturity_state,right_maturity_state,left_score,right_score,left_families,right_families,dio_anchor_exchange_sentence,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_text_1caq85y,same_family_basis,inner_unconfirmed_raw_space,inner_unconfirmed_raw_space,0.0,1.0,dio_0sf3,,,new_unconfirmed_text_island,new_unconfirmed_text_island,0.206666667,0.206666667,dio_0sf3,dio_0sf3,"dio_text_1caq85y: same_family_basis; anchor=dio_0sf3; added=-; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_1cbdbn,same_family_basis,inner_foreign_boundary_space,inner_foreign_boundary_space,0.0,1.0,dio_065p,,,new_unconfirmed_text_island,new_unconfirmed_text_island,0.326666667,0.326666667,dio_065p,dio_065p,"dio_text_1cbdbn: same_family_basis; anchor=dio_065p; added=-; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_1ccct8g,anchor_thinning,inner_soft_variation_space,inner_soft_variation_space,-0.061081133,0.25,dio_0b1z,,dio_0bm2|dio_1wnr|dio_1wxr,variant_resilient_text_island,variant_resilient_text_island,0.614831,0.553749867,dio_0b1z|dio_0bm2|dio_1wnr|dio_1wxr,dio_0b1z,"dio_text_1ccct8g: anchor_thinning; anchor=dio_0b1z; added=-; removed=dio_0bm2|dio_1wnr|dio_1wxr; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_1cioi37,same_family_basis,inner_foreign_boundary_space,inner_foreign_boundary_space,0.0,1.0,dio_19b1|dio_1vcq,,,new_unconfirmed_text_island,new_unconfirmed_text_island,0.333333333,0.333333333,dio_19b1|dio_1vcq,dio_19b1|dio_1vcq,"dio_text_1cioi37: same_family_basis; anchor=dio_19b1|dio_1vcq; added=-; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_1d376i0,same_family_basis,inner_foreign_boundary_space,inner_foreign_boundary_space,0.0,1.0,dio_0gqd|dio_0tkr|dio_1wc6,,,new_unconfirmed_text_island,new_unconfirmed_text_island,0.34,0.34,dio_0gqd|dio_0tkr|dio_1wc6,dio_0gqd|dio_0tkr|dio_1wc6,"dio_text_1d376i0: same_family_basis; anchor=dio_0gqd|dio_0tkr|dio_1wc6; added=-; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_1dg4vy8,new_text_island,absent,inner_unconfirmed_raw_space,0.213333333,0.0,,dio_0a6g|dio_1og2,,absent,new_unconfirmed_text_island,0.0,0.213333333,,dio_0a6g|dio_1og2,"dio_text_1dg4vy8: new_text_island; anchor=-; added=dio_0a6g|dio_1og2; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_1dh1gcg,same_family_basis,inner_foreign_boundary_space,inner_foreign_boundary_space,0.0,1.0,dio_0xvw|dio_15uo|dio_1ssh,,,new_unconfirmed_text_island,new_unconfirmed_text_island,0.34,0.34,dio_0xvw|dio_15uo|dio_1ssh,dio_0xvw|dio_15uo|dio_1ssh,"dio_text_1dh1gcg: same_family_basis; anchor=dio_0xvw|dio_15uo|dio_1ssh; added=-; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_1djz0gs,new_text_island,absent,inner_unconfirmed_raw_space,0.213333333,0.0,,dio_0bno|dio_1k5q,,absent,new_unconfirmed_text_island,0.0,0.213333333,,dio_0bno|dio_1k5q,"dio_text_1djz0gs: new_text_island; anchor=-; added=dio_0bno|dio_1k5q; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_1dm1pbm,new_text_island,absent,inner_unconfirmed_raw_space,0.206666667,0.0,,dio_0ycr,,absent,new_unconfirmed_text_island,0.0,0.206666667,,dio_0ycr,"dio_text_1dm1pbm: new_text_island; anchor=-; added=dio_0ycr; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_1dmfjko,new_text_island,absent,inner_unconfirmed_raw_space,0.206666667,0.0,,dio_0ocv,,absent,new_unconfirmed_text_island,0.0,0.206666667,,dio_0ocv,"dio_text_1dmfjko: new_text_island; anchor=-; added=dio_0ocv; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
