text_island_symbol,inner_map_transition_state,left_inner_map_state,right_inner_map_state,left_semantic_maturity_score,right_semantic_maturity_score,score_delta,stability_delta,variation_delta,drift_delta,left_families,right_families,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_text_1eo4l7g,stable_foreign_boundary,inner_foreign_boundary_space,inner_foreign_boundary_space,0.333333333,0.333333333,0.0,0.0,0.0,0.0,dio_10jm|dio_17ne,dio_10jm|dio_17ne,True,False,False,False,False,False,False,False
dio_text_1ezt1v9,stable_foreign_boundary,inner_foreign_boundary_space,inner_foreign_boundary_space,0.326666667,0.326666667,0.0,0.0,0.0,0.0,dio_19pa,dio_19pa,True,False,False,False,False,False,False,False
dio_text_1falsty,stable_variation_bearing,inner_variation_bearing_space,inner_variation_bearing_space,0.7276358,0.7548452,0.0272094,-0.00767415,0.05088376,0.0,dio_0oic|dio_0p55|dio_0q96|dio_1jba|dio_1nuj|dio_1rl5,dio_0oic|dio_0p55|dio_0q96|dio_1doh|dio_1jba|dio_1qt4|dio_1rl5|dio_1si6,True,False,False,False,False,False,False,False
dio_text_1fhtiwn,stable_variation_bearing,inner_variation_bearing_space,inner_variation_bearing_space,0.702814933,0.702814933,0.0,0.0,0.0,0.0,dio_06ab|dio_0j15|dio_0qr6|dio_0r6m|dio_0rur|dio_16mu|dio_17qv|dio_1tln|dio_1xpi,dio_06ab|dio_0j15|dio_0qr6|dio_0r6m|dio_0rur|dio_16mu|dio_17qv|dio_1tln|dio_1xpi,True,False,False,False,False,False,False,False
dio_text_1fz9hf9,stable_same_inner_state,inner_unconfirmed_raw_space,inner_unconfirmed_raw_space,0.206666667,0.206666667,0.0,0.0,0.0,0.0,dio_1hs5,dio_1hs5,True,False,False,False,False,False,False,False
dio_text_1gu8zlv,stable_foreign_boundary,inner_foreign_boundary_space,inner_foreign_boundary_space,0.333333333,0.333333333,0.0,0.0,0.0,0.0,dio_0jhq|dio_1s03,dio_0jhq|dio_1s03,True,False,False,False,False,False,False,False
dio_text_1h276uq,stable_foreign_boundary,inner_foreign_boundary_space,inner_foreign_boundary_space,0.326666667,0.326666667,0.0,0.0,0.0,0.0,dio_0s89,dio_0s89,True,False,False,False,False,False,False,False
dio_text_1h5am86,stable_variation_bearing,inner_variation_bearing_space,inner_variation_bearing_space,0.664225933,0.705443467,0.041217534,0.09293155,0.116487014,0.0,dio_0hi9|dio_0inm|dio_0rwq,dio_0hi9|dio_0inm|dio_1as2|dio_1hs5,True,False,False,False,False,False,False,False
dio_text_1h6fvkt,stable_foreign_boundary,inner_foreign_boundary_space,inner_foreign_boundary_space,0.326666667,0.326666667,0.0,0.0,0.0,0.0,dio_02de,dio_02de,True,False,False,False,False,False,False,False
dio_text_1hd3f1r,stable_foreign_boundary,inner_foreign_boundary_space,inner_foreign_boundary_space,0.326666667,0.326666667,0.0,0.0,0.0,0.0,dio_1p1a,dio_1p1a,True,False,False,False,False,False,False,False
