stage_index,stage_label,family,visible,attached_base_families,coupled_degree,island_count,vector_drift_from_previous_visible,episode_count,dominant_neuro_tone,dominant_temporal_state,passive_only,controlled_dataset_scope,long_run_claim,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
1,M,dio_07kj,True,-,0,1,0.000426653,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_07kj,True,-,0,1,0.000636148,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_07kj,True,-,0,1,0.000896009,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_07lp,True,-,0,1,0.0,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_07lp,True,-,0,1,0.004492201,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_07lp,True,-,0,1,0.003709337,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_07lp,True,-,0,1,0.001229624,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_07mw,True,-,0,1,0.0,8,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_07mw,True,-,0,1,0.02237117,12,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_07mw,True,-,0,1,0.000813053,12,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_07mw,True,-,0,1,0.001289032,12,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_07t8,True,-,0,1,0.0,4,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_07t8,True,-,0,1,0.000873011,4,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_07t8,True,-,0,1,0.000383619,4,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_07t8,True,-,0,1,0.002195999,4,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_07t9,True,-,0,1,0.0,4,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_07t9,True,-,0,1,0.001924771,4,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_07t9,True,-,0,1,0.002260684,4,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_07t9,True,-,0,1,0.000917327,4,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_07we,True,-,0,1,0.0,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_07we,True,-,0,1,0.000135956,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_07we,True,-,0,1,0.002886517,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_07we,True,-,0,1,0.000945902,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_080e,True,-,0,1,0.0,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_080e,True,-,0,1,0.002399446,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_080e,True,-,0,1,0.001160879,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_080e,True,-,0,1,0.003544173,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_08mk,True,-,0,1,0.0,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_08mk,True,-,0,1,0.001213668,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_08mk,True,-,0,1,0.002017089,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_08mk,True,-,0,1,0.000194951,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_08pv,True,-,0,1,0.0,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_08pv,True,-,0,1,0.002331529,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_08pv,True,-,0,1,0.000102604,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_08pv,True,-,0,1,0.002071789,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_08ub,True,-,0,1,0.0,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_08ub,True,-,0,1,0.000806833,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_08ub,True,-,0,1,2.43e-07,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_08ub,True,-,0,1,0.000746672,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_09b1,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
1,M,dio_09b1,True,-,0,1,0.0,2,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_09b1,True,-,0,1,0.003688809,4,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_09b1,True,-,0,1,0.000912964,4,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_09ed,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
